ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
23280,1969-09-01,1987-12-01,67.2,90,1997,16755.0,5,D,4.188,1200
23594,1969-10-18,1989-10-27,73.4,110,1199,21390.0,5,P,4.159,1165
23860,1970-08-15,1988-11-16,59.82,106,1985,20000.0,4,P,4.874,1266
23860,1970-08-15,1988-11-16,61.61,106,1985,20000.0,4,P,4.874,1266
23924,1971-08-14,1989-12-01,64.43,160,1994,30038.58,3,P,4.365,1320
24018,1972-06-08,1992-10-15,64.66,231,3164,47479.96,2,P,4.355,1210
24020,1973-05-26,1993-01-01,67.15,128,2347,13823.28,4,P,4.666,1285
24728,1980-05-08,1999-03-23,59.71,101,1993,9235.04,2,P,4.439,1031
24743,1987-09-24,2007-02-05,78.38,136,1997,29907.29,5,D,4.59,1620
24955,1976-03-06,1996-01-16,76.75,109,1560,20860.0,5,D,4.333,1344
25102,1962-06-09,1981-07-08,65.76,90,1461,19650.0,5,D,4.302,1215
25599,1964-12-12,1986-10-13,61.33,100,1560,23439.99,5,D,4.38,1374
25813,1968-09-18,1989-01-20,54.28,136,1951,28451.91,4,D,4.471,1450
26030,1968-02-17,1986-05-09,68.27,125,2151,40983.02,4,D,4.82,1540
26331,1967-07-24,1987-07-20,67.27,90,1582,16550.0,5,D,4.245,1266
26793,1971-06-24,1989-07-29,41.3,110,1560,22600.0,5,D,4.419,1391
26819,1952-10-12,1972-04-26,62.94,110,1868,14086.36,5,D,4.11,1155
27340,1969-06-27,1988-01-05,79.04,150,2199,29900.0,4,D,4.726,1465
27515,1966-05-19,1984-11-29,65.03,90,2497,30531.41,4,D,4.755,1320
27575,1970-04-04,2007-11-02,42.07,115,1867,12660.0,3,D,3.835,1084
27635,1969-01-31,1989-04-26,80.69,130,1896,25360.0,3,D,4.152,1200
27786,1969-05-15,1989-05-01,53.85,130,2287,28110.75,2,D,5.358,1615
27788,1969-05-15,1989-05-01,58.37,130,2998,28808.6,2,D,6.909,1802
27803,1969-12-08,1988-03-11,74.48,71,2502,26524.0,4,D,4.355,1450
28117,1984-11-09,2007-05-08,75.67,90,1398,14617.1,5,P,4.021,1163
28663,1955-01-01,1975-01-01,45.49,80,1229,12910.0,5,P,3.999,1085
28737,1973-05-11,2003-10-08,61.69,90,1753,16140.0,5,D,4.174,1349
28980,1974-08-08,1999-01-11,65.71,250,2479,56993.98,3,P,4.2,1400
29319,1975-06-17,1994-11-03,62.29,90,1461,21300.01,5,D,4.122,1205
29467,1975-10-17,1996-03-12,57.02,115,1560,22400.0,5,D,4.38,1390
29495,1975-12-06,1994-01-10,81.09,90,1896,19059.98,5,D,4.395,1199
29798,1984-10-12,2003-03-31,47.86,110,1896,19645.0,5,D,4.184,1259
30060,1981-05-12,1999-09-03,70.49,165,1998,31045.16,5,P,4.55,1518
30168,1966-03-07,1984-06-15,60.42,72,2399,15608.28,4,D,4.68,1385
30348,1981-03-19,1999-11-02,64.53,135,2402,25870.0,2,D,6.075,1693
30481,1987-10-01,2009-06-30,74.84,150,2461,46090.0,3,D,4.754,2247
30485,1991-05-05,2009-12-04,58.04,82,1199,16590.0,5,P,3.965,1040
31366,1980-01-27,1999-01-15,70.54,90,1461,19600.0,5,D,4.122,1170
31856,1982-06-17,2002-12-02,57.45,110,1560,20310.0,5,D,4.419,1307
31926,1983-09-06,2004-05-05,67.62,106,1586,20574.0,3,P,4.005,1370
32039,1991-11-16,2010-07-04,63.51,85,1461,18150.0,5,D,4.228,1195
32092,1976-12-17,1998-07-31,61.52,90,1360,17020.0,5,P,4.26,1182
32395,1982-02-04,2000-09-01,72.63,100,1560,24935.0,5,D,4.38,1449
32443,1976-07-06,1994-09-07,77.21,225,1781,43960.0,2,P,4.041,1475
32609,1979-08-16,2000-11-07,72.79,71,1560,24235.01,4,D,4.384,1374
33067,1983-03-03,2001-09-20,60.26,204,3222,52088.96,4,D,4.818,1730
33453,1980-07-27,2008-05-20,64.4,115,1991,21174.0,5,D,4.545,1543
33575,1982-05-14,2001-11-07,74.65,90,1753,19600.0,5,D,4.297,1521
33597,1981-07-01,2000-08-01,65.13,130,1870,26000.0,5,D,4.277,1430
33807,1983-08-14,2003-06-13,49.08,120,1910,22290.0,5,D,4.249,1335
33870,1985-10-15,2007-03-01,47.31,90,1997,19860.0,5,D,4.137,1220
33891,1983-09-19,2003-01-24,79.22,95,999,15290.0,5,P,4.059,1134
34002,1986-09-03,2006-06-05,73.2,136,1997,26150.0,5,D,4.47,1581
34111,1980-01-10,2001-01-03,70.7,90,1896,18550.0,5,D,4.315,1290
34360,1988-06-13,2007-06-27,45.84,100,1560,17470.0,3,D,4.427,1165
34397,1990-08-30,2008-09-22,80.79,75,1390,12705.0,5,P,3.916,1021
34436,1961-03-24,1985-03-15,64.9,115,1995,31100.0,5,D,4.478,1480
34479,1991-02-04,2010-12-27,70.24,71,1998,20720.0,4,D,4.355,1290
34750,1976-10-17,2003-02-13,56.1,100,1997,15180.0,5,D,3.822,1145
34884,1981-06-23,2009-04-29,70.2,130,2179,34950.0,5,D,4.726,1783
34904,1990-02-01,2008-05-07,44.46,90,1560,20192.24,5,D,4.275,1182
35111,1962-10-10,1999-05-07,52.2,71,1867,15760.0,5,D,4.137,1220
35152,1982-11-20,2001-02-01,76.74,204,2143,44350.0,2,D,4.59,1580
35392,1968-05-29,1986-09-05,50.62,92,1560,16710.0,3,D,3.962,1155
35937,1968-08-08,1988-06-12,58.6,90,1753,17180.0,5,D,4.174,1211
36018,1971-07-26,1989-08-05,77.83,105,1896,22595.0,5,D,4.204,1287
36466,1975-12-15,1993-12-22,76.34,87,1995,30250.0,5,P,4.329,1395
36558,1971-11-14,2007-06-19,54.9,75,1896,14270.08,5,D,4.14,1170
36952,1966-05-02,1984-06-04,44.0,85,1896,26510.0,5,P,4.238,1280
37392,1977-03-05,1998-05-07,56.3,92,1560,22080.01,5,D,4.38,1539
37424,1979-08-29,1997-12-22,63.01,105,1587,19820.0,5,D,4.26,1274
37464,1978-04-02,2011-05-13,50.03,82,1199,15700.0,5,P,3.996,1055
37660,1983-07-29,2001-07-30,47.41,121,1997,27500.0,5,D,4.57,1456
37851,1978-02-23,2002-05-13,68.93,90,1997,21036.0,5,D,4.276,1300
37885,1970-02-01,1988-05-03,45.85,90,2967,55530.0,5,D,5.086,2295
38023,1990-11-12,2014-10-06,59.25,90,1598,19670.0,3,P,4.29,1195
38160,1989-06-03,2013-02-13,53.87,75,1364,16980.0,3,D,3.626,1100
38233,1954-01-24,2004-02-19,50.75,150,2148,33800.0,4,D,4.526,1465
38292,1988-11-01,2007-07-17,66.66,140,1368,30450.0,5,P,4.394,1430
38437,1965-08-15,1990-11-13,65.02,90,1360,12450.0,5,D,3.822,1025
38444,1992-03-21,2013-01-01,69.87,90,1197,15930.0,5,P,4.061,1089
38447,1997-12-10,2016-09-05,65.04,90,1364,18070.0,3,P,4.29,1165
38491,1972-10-19,1996-09-04,43.15,90,1398,16479.99,5,D,4.021,1141
38629,1970-01-01,1990-05-14,57.52,115,1796,13422.0,5,P,4.278,1420
38771,1980-04-13,2012-12-20,76.21,115,1896,14270.08,5,D,4.14,1170
38909,1980-08-23,2000-09-21,62.36,90,1997,20000.0,4,D,4.6,1405
39423,1951-07-18,1969-11-19,71.51,71,1868,17630.0,5,D,4.137,1267
39438,1946-01-22,1967-04-06,48.03,100,999,17530.0,5,P,4.157,1190
40171,1994-07-14,2018-02-21,79.31,85,1461,16840.0,4,D,4.213,1389
40270,1974-01-13,1995-04-15,49.95,150,1560,19950.0,5,D,4.384,1429
40424,1947-09-06,1966-06-06,77.41,120,1560,27080.01,5,D,4.365,1420
40459,1956-01-21,1974-10-18,62.1,90,1560,25440.0,5,D,4.805,1733
40485,1985-11-20,2004-09-23,59.1,115,1560,22450.0,5,D,4.358,1269
40505,1957-01-22,1975-06-06,44.46,120,1560,29450.0,5,D,4.447,1300
40536,1958-07-21,1976-09-17,58.56,85,1229,12410.0,5,D,3.999,1055
40700,1960-04-01,1981-02-01,76.97,80,1248,18906.25,5,D,3.959,1275
40873,1944-11-01,1976-06-01,79.34,110,999,21807.67,5,P,4.258,1216
41091,1945-03-25,1963-05-30,68.91,100,1595,17297.13,4,P,4.554,1268
41588,1977-11-09,1999-12-17,79.65,133,1896,29980.0,2,P,4.586,1450
41677,1981-02-01,2000-11-02,51.15,90,1422,12760.95,5,D,3.953,1131
41920,1984-02-18,2002-03-21,49.39,115,1582,20390.0,5,D,4.1,1281
42259,1945-11-15,1969-12-15,52.66,120,1868,16270.0,5,D,4.137,1267
42546,1963-11-09,1982-01-15,75.61,85,1199,15329.99,5,P,4.315,1202
42567,1966-12-28,1985-04-09,79.23,92,1560,21600.0,5,D,4.329,1205
42625,1987-06-06,2005-08-20,47.75,110,1598,22150.01,5,D,4.419,1503
42742,1951-02-15,1989-11-10,62.25,163,1998,34195.95,5,P,4.65,1475
42818,1956-07-01,1976-10-01,45.12,85,2188,17297.13,5,D,4.51,1335
43266,1971-12-14,1991-09-30,71.67,125,1991,26850.0,4,D,4.5,1743
43314,1969-12-03,1991-02-19,76.24,135,1591,25175.0,5,P,4.44,1305
43777,1970-08-02,1991-09-18,54.35,170,2143,46243.39,5,D,4.536,1805
