Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Length,Weight,Age,Driving_experience,FuelType_D,FuelType_P
234.11,75,1349,9772.46,5,4.074,1081,84,42,0,1
489.01,109,2151,23222.87,5,4.835,1906,83,63,1,0
390.69,75,1248,16350.0,5,4.065,1105,83,59,1,0
230.94,140,1968,25690.0,3,4.214,1340,83,64,1,0
347.58,163,1598,15475.0,5,3.635,1065,80,61,1,0
291.69,80,1870,15450.0,6,3.995,1120,83,56,1,0
229.91,110,1997,26308.0,5,4.618,1385,81,57,1,0
317.08,106,1598,11268.98,5,4.074,1107,80,38,0,1
437.17,143,1995,27600.0,5,4.239,1320,80,61,1,0
519.13,141,1998,32850.0,5,4.66,1929,78,60,1,0
190.61,90,1396,18505.01,5,4.12,1178,79,56,0,1
274.66,84,1598,13754.49,3,4.11,1088,82,52,0,1
247.32,105,2476,22297.55,5,4.635,1975,80,59,1,0
1066.45,234,3498,50770.0,5,4.77,1870,78,52,0,1
246.42,90,1997,18180.0,5,4.137,1311,78,59,1,0
390.27,82,1598,12035.27,5,4.43,1017,80,53,0,1
279.42,82,1686,10205.19,5,3.741,1035,80,53,0,1
397.18,82,1997,20300.0,5,4.419,1328,80,53,0,1
253.86,71,1868,15450.0,5,4.137,1267,82,60,1,0
323.67,112,1951,29150.0,5,4.423,1565,84,55,1,0
224.19,90,1461,13230.97,5,4.388,1205,81,48,1,0
210.92,94,1399,11555.0,5,3.88,1060,83,52,0,1
260.2,71,1868,12873.68,4,4.108,1185,81,59,1,0
472.01,150,1995,38800.0,5,4.856,1807,79,58,1,0
310.6,105,1910,18066.21,4,4.633,1330,79,53,1,0
294.84,75,1686,15690.0,5,4.11,1205,79,53,1,0
250.7,100,1149,16130.85,5,3.986,1015,80,50,0,1
262.91,129,1870,24030.0,3,4.005,1495,81,54,1,0
83.27,129,4525,42920.0,3,4.355,4525,81,54,1,0
261.56,90,1997,15360.67,5,4.03,1230,79,34,1,0
537.12,136,1968,29300.0,5,4.765,1710,79,28,1,0
290.51,85,1997,19540.0,5,4.655,1635,78,58,1,0
306.7,102,1896,25734.6,5,4.89,1790,76,57,1,0
237.7,90,1997,18300.0,4,4.137,1220,77,47,1,0
330.27,125,2835,24440.37,3,4.145,1730,44,26,1,0
202.55,110,1598,18070.0,5,4.51,1230,79,55,0,1
334.84,92,1560,18450.0,5,4.078,1277,82,58,1,0
248.13,82,1686,13955.5,5,4.05,1115,40,21,1,0
341.21,110,1499,13040.0,5,4.157,1205,51,32,1,0
442.35,163,1995,34500.0,4,4.52,1430,42,15,1,0
251.12,90,1753,13913.43,5,4.174,1194,75,56,1,0
347.01,80,1422,14517.0,3,3.953,1106,76,57,1,0
306.59,170,2360,37800.0,5,4.64,1625,75,56,0,1
257.35,113,2998,33903.09,5,4.78,1500,74,50,1,0
309.01,136,1997,20700.0,3,4.337,1303,76,56,1,0
273.14,71,1905,13426.61,5,3.995,1060,74,52,1,0
296.47,90,1597,11425.24,5,4.302,1020,74,45,0,1
230.45,105,1910,15355.0,5,4.159,1235,75,36,1,0
223.43,105,1595,18010.0,5,4.397,1179,75,56,0,1
275.26,85,1997,20140.0,5,5.005,1735,76,43,1,0
238.87,103,1570,9225.54,3,3.74,1150,76,44,0,1
220.62,136,1870,17128.84,5,4.129,1145,73,44,1,0
367.82,90,1997,20000.0,4,4.6,1405,74,55,1,0
273.44,90,1753,12356.81,5,4.138,1147,73,53,1,0
153.68,90,1896,10756.24,5,3.815,1070,73,53,1,0
303.04,105,1870,18070.0,4,4.436,1150,73,49,1,0
290.01,90,1560,19570.0,5,4.211,1262,36,18,1,0
262.55,90,1248,16230.0,5,3.97,1185,36,18,1,0
315.43,115,1850,16167.23,4,4.685,1350,71,53,0,1
224.47,75,1360,14792.0,5,3.85,1014,72,24,0,1
204.75,120,1870,26560.0,5,4.493,1530,36,17,1,0
346.35,80,1870,23020.0,5,4.782,1716,75,28,1,0
319.41,150,1896,22265.0,5,4.184,1301,70,51,1,0
272.61,115,2171,28160.0,5,4.69,1786,71,32,1,0
299.96,136,2119,18027.96,4,4.48,1110,73,46,0,1
264.35,83,1560,27550.01,5,4.438,1371,70,47,0,1
402.72,75,1461,18770.0,5,4.213,1319,70,41,1,0
211.94,90,1997,18598.0,5,4.188,1200,43,23,1,0
191.74,142,1975,20877.0,5,4.35,1467,71,46,0,1
228.78,90,1997,18943.0,5,4.276,1300,70,51,1,0
205.89,90,1997,17205.0,4,4.188,1200,72,32,1,0
227.82,110,1997,24885.0,5,4.618,1385,70,51,1,0
646.96,140,1968,27210.0,5,4.206,1447,69,51,1,0
304.38,94,3990,24785.74,2,5.36,2093,70,51,1,0
346.36,94,1753,15410.0,2,4.308,1399,70,51,1,0
398.66,94,2199,34954.2,2,4.49,1410,70,51,1,0
325.09,150,1991,33656.68,4,4.775,1545,64,39,0,1
250.08,90,1582,16490.0,5,4.28,1266,70,48,1,0
200.67,75,1199,10253.27,5,3.817,1070,72,50,0,1
248.6,80,1422,15970.0,3,3.916,1089,47,29,1,0
418.36,115,2171,24575.38,5,4.69,1780,70,49,1,0
196.97,90,1598,16645.0,5,4.336,1320,69,44,1,0
463.34,95,1397,16380.0,3,4.03,1144,70,48,0,1
257.23,90,1396,22390.0,5,4.3,1282,70,46,1,0
285.9,141,1998,32850.0,5,4.66,1929,40,20,1,0
544.38,110,1461,24300.0,5,4.33,1418,66,46,1,0
332.88,100,1995,30500.0,3,4.215,1410,68,45,1,0
313.68,238,2967,42670.0,4,4.86,1637,68,47,0,1
232.26,238,1596,17480.0,4,4.174,1122,68,47,0,1
407.73,92,1560,18780.0,5,3.962,1155,71,50,1,0
318.56,109,1560,20265.0,5,4.342,1371,68,37,1,0
259.44,75,1598,11978.17,3,4.11,1130,68,18,0,1
289.81,120,1870,25260.0,5,4.576,1350,70,50,1,0
41.98,110,1968,16500.0,5,4.408,1457,69,51,1,0
274.5,100,1399,14385.0,4,3.916,1061,40,22,1,0
215.39,71,1868,12873.68,4,4.108,1185,67,49,1,0
265.88,110,1598,22910.0,5,4.576,1270,69,50,0,1
284.0,113,2998,33903.09,5,4.78,1500,65,44,1,0
541.32,116,1995,20070.0,3,4.18,1290,66,48,1,0
690.01,150,2148,39900.0,2,4.652,1500,67,44,1,0
247.22,130,1989,14574.54,3,4.174,1221,66,28,0,1
241.59,84,1598,14896.95,5,4.11,1120,65,40,0,1
73.64,84,1587,17640.0,5,4.211,1187,65,40,0,1
218.53,90,1905,17723.85,5,4.524,1312,67,49,1,0
279.87,110,1461,24100.0,5,4.344,1385,67,49,1,0
229.82,110,1587,16830.0,5,4.202,1176,64,32,0,1
276.74,90,1598,14965.2,5,4.129,1055,68,43,0,1
219.18,90,1997,18598.0,5,4.188,1200,66,47,1,0
245.93,110,1199,12080.0,5,3.741,1040,66,26,1,0
561.85,110,999,19270.0,5,4.017,1339,66,26,1,0
613.13,105,1896,20700.0,5,4.315,1250,36,18,1,0
259.34,100,1910,15295.76,3,4.025,1180,68,44,1,0
288.86,90,1560,20330.0,5,4.137,1230,65,46,1,0
248.36,125,2982,30194.85,5,4.77,1810,66,44,1,0
285.28,125,1461,14875.0,5,4.035,1055,66,44,1,0
246.9,100,1870,15866.72,5,4.129,1150,66,36,1,0
239.32,90,1560,18090.0,5,4.342,1357,67,38,1,0
657.09,180,1984,36270.0,5,4.711,1500,66,45,0,1
298.27,90,1461,20528.86,5,4.4,1260,67,46,1,0
238.42,120,1910,22270.0,3,4.29,1333,40,16,1,0
228.6,100,1896,23640.0,4,4.675,1361,66,44,1,0
407.81,75,1248,16430.0,5,3.999,1180,65,32,1,0
213.85,84,2820,15363.67,5,4.61,1820,66,47,1,0
448.5,184,2926,40267.81,4,4.775,1650,65,46,1,0
197.25,90,1560,19005.0,5,4.276,1290,65,47,1,0
243.51,100,1870,23160.0,5,4.576,1315,64,19,1,0
326.92,90,1997,19690.0,5,4.419,1390,66,48,1,0
322.49,115,2799,21400.0,5,4.888,1774,65,47,1,0
246.36,115,2188,30220.0,5,4.735,1575,65,47,1,0
373.66,120,1560,27429.99,5,4.38,1398,66,47,1,0
259.8,90,1560,20950.0,5,4.276,1290,64,45,1,0
295.56,90,1422,13738.0,5,3.953,1106,64,45,1,0
259.7,90,1560,19190.0,5,4.26,1182,64,45,1,0
260.13,90,1560,20060.0,3,4.276,1293,64,45,1,0
311.27,100,1998,21080.0,5,4.834,1866,66,48,1,0
253.28,90,1997,19379.0,5,4.188,1200,64,45,1,0
392.74,140,1991,25270.0,5,4.545,1556,64,45,1,0
243.98,140,1868,15431.0,5,4.137,1295,64,45,1,0
227.13,76,2496,15476.06,5,4.616,1608,64,46,1,0
240.77,92,1560,17740.0,5,4.26,1182,66,44,1,0
346.0,163,1995,36100.0,4,4.624,1420,63,41,1,0
217.81,163,1198,10820.0,4,3.916,1014,63,41,1,0
487.24,90,1248,15665.0,5,4.045,1127,64,45,1,0
272.06,193,2295,39149.93,2,3.995,1325,64,46,0,1
221.85,193,1997,17205.0,2,4.188,1200,64,46,0,1
847.88,115,1197,19900.0,5,4.302,1205,64,46,0,1
590.94,85,1248,14165.82,5,4.045,1029,65,30,0,1
372.16,109,1560,19350.0,5,4.337,1310,65,47,1,0
281.69,105,1598,19170.0,3,4.29,1195,64,41,0,1
422.99,105,1761,17874.1,3,4.6,1350,64,41,0,1
165.76,131,1591,28514.99,5,4.475,1379,64,37,0,1
330.18,100,1995,19364.8,5,4.11,1245,67,30,1,0
266.32,92,1560,19380.0,5,4.26,1182,62,41,1,0
268.64,95,1997,18670.0,5,4.44,1400,61,34,1,0
