Premium,Value_vehicle,Length,Weight,Age,Driving_experience
456.45,23800.0,4.315,1385,56,37
361.08,27773.48,4.945,1795,58,39
442.03,23330.0,4.782,1677,53,34
275.02,22420.0,4.209,1270,54,36
372.86,23010.0,4.333,1437,53,24
233.31,20710.0,4.259,1340,54,35
777.95,18900.0,4.276,1212,53,18
272.85,20780.0,4.579,1380,50,31
321.56,21100.0,4.248,1391,47,28
210.19,13326.0,3.953,1057,43,23
285.1,22075.17,4.435,1340,77,36
418.32,33400.0,4.52,1505,77,36
293.96,14156.0,4.975,1470,76,53
321.72,11555.0,3.88,1060,75,42
281.8,13350.0,4.03,1138,66,17
357.32,19935.0,4.204,1173,65,44
248.24,18430.0,4.372,1297,65,40
298.16,18440.0,4.33,1263,54,26
369.46,30200.0,4.524,1614,49,30
218.68,20316.17,4.137,1219,58,39
477.13,20460.0,4.44,1595,58,39
331.66,16221.32,4.184,1255,73,33
296.94,18598.0,4.188,1200,41,23
347.39,18598.0,4.188,1200,41,23
241.54,15150.0,3.953,1142,55,28
247.37,19379.0,4.188,1200,84,59
308.61,13480.7,4.293,1085,54,16
365.72,22350.0,4.5,1495,79,45
226.46,14793.43,4.167,1106,81,61
174.48,49100.01,4.656,1845,79,58
327.41,16380.0,4.49,1505,79,57
282.16,21110.0,4.419,1421,75,54
323.12,17565.0,4.322,1233,75,48
271.72,39878.11,4.775,1440,74,40
251.05,30160.0,4.72,1420,74,40
316.79,28480.0,4.286,1315,44,22
259.66,14859.26,4.253,1395,71,46
265.27,13703.08,4.394,1120,71,46
331.17,17800.0,4.157,1095,43,14
362.89,22513.91,6.76,1720,67,49
228.92,13951.27,3.864,1210,67,49
437.25,32490.0,6.809,2137,64,46
259.63,32102.58,4.448,1400,65,43
407.16,19170.0,4.209,1175,32,14
198.79,16470.0,4.168,1235,63,45
379.29,15695.0,3.97,1157,62,44
296.56,20315.65,4.66,1600,61,36
607.37,20670.0,4.249,1305,64,34
388.47,20750.0,4.675,1286,62,33
342.21,12490.0,4.24,1064,60,42
399.21,16385.0,4.342,1264,63,38
298.91,18440.0,4.33,1263,55,37
300.5,23555.0,4.488,1461,37,15
298.75,20610.0,4.559,1250,53,17
240.94,13967.52,4.07,1035,53,25
496.31,28338.31,4.963,1950,49,14
264.24,19125.0,4.035,1095,47,29
248.78,28451.91,4.471,1450,43,24
476.02,26460.0,4.999,1661,42,23
349.72,19090.0,4.5,1309,39,19
322.76,23870.0,5.099,1885,39,20
293.6,30600.0,4.547,1405,39,20
319.35,26356.6,5.848,1680,39,20
479.27,15385.91,4.174,1201,42,14
474.36,31282.68,4.488,1440,49,27
266.67,17790.0,4.3,1205,45,26
261.07,22810.0,4.782,1678,45,26
124.89,17920.0,4.035,1095,49,19
221.94,22310.0,4.74,1535,61,25
278.21,13540.81,3.88,1124,76,50
372.56,34122.1,6.843,2005,47,28
242.47,11813.18,4.363,1189,73,54
314.85,18440.0,4.33,1263,69,17
310.59,21053.45,4.524,1361,61,38
467.6,27900.0,4.447,1270,49,29
320.9,19458.2,4.44,1415,57,30
231.97,14680.0,3.835,1145,55,34
481.5,22520.0,4.587,1329,50,29
419.51,17205.0,4.188,1200,80,59
518.77,24010.0,5.201,1842,73,48
258.22,19154.26,4.48,1230,76,54
182.3,18850.0,4.317,1560,70,47
281.77,16610.0,4.555,1399,70,47
310.97,14724.8,4.511,1190,70,33
292.79,13754.49,4.11,1088,69,44
286.34,20765.0,4.49,1271,48,29
399.51,17410.43,4.66,1600,58,39
390.69,23420.0,4.278,1445,77,50
244.77,18270.0,4.202,1176,60,41
306.12,18943.0,4.276,1300,52,27
463.57,23265.0,4.199,1297,70,38
769.28,22370.01,4.255,1220,47,23
311.93,37600.0,4.841,1510,36,18
134.39,21510.0,4.259,1340,38,16
381.83,23300.0,4.256,1351,37,18
325.45,17169.99,4.214,1397,36,17
259.3,26640.0,4.199,1276,37,15
246.08,20205.0,4.342,1415,33,15
309.14,22290.0,4.249,1335,33,8
440.0,19080.01,4.263,1213,49,27
101.01,21275.0,4.439,1286,38,19
136.92,23557.1,4.4,1378,38,18
572.93,22000.0,4.204,1251,35,17
